PROVINCE,VARIABLE,YEAR,UNIT,VALUE
British Columbia,Dissolved Phosphorus,2005,mg/L,0.008227539726268511
British Columbia,Dissolved Phosphorus,2006,mg/L,0.009210592425797994
British Columbia,Dissolved Phosphorus,2007,mg/L,0.015103171462301779
British Columbia,Dissolved Phosphorus,2008,mg/L,0.016924195083333014
British Columbia,Dissolved Phosphorus,2009,mg/L,0.01591241776200979
British Columbia,Dissolved Phosphorus,2010,mg/L,0.009728383523268434
British Columbia,Dissolved Phosphorus,2011,mg/L,0.011983275534565931
British Columbia,Dissolved Phosphorus,2012,mg/L,0.016380325948240057
British Columbia,Dissolved Phosphorus,2013,mg/L,0.011679685526769745
British Columbia,Dissolved Phosphorus,2014,mg/L,0.019081879678909595
British Columbia,Dissolved Phosphorus,2015,mg/L,0.012019702507831145
British Columbia,Dissolved Phosphorus,2016,mg/L,0.00884034491328495
British Columbia,Dissolved Phosphorus,2017,mg/L,0.009428144912385304
British Columbia,Dissolved Phosphorus,2018,mg/L,0.009011804095561838
British Columbia,Dissolved Phosphorus,2019,mg/L,0.009284950263411803
British Columbia,Dissolved Sulphate,2000,mg/L,12.444594321266965
British Columbia,Dissolved Sulphate,2001,mg/L,12.544086956521738
British Columbia,Dissolved Sulphate,2002,mg/L,17.48667906820848
British Columbia,Dissolved Sulphate,2003,mg/L,16.5683539625699
British Columbia,Dissolved Sulphate,2004,mg/L,14.145968065362199
British Columbia,Dissolved Sulphate,2005,mg/L,14.88578989441435
British Columbia,Dissolved Sulphate,2006,mg/L,16.58946126280614
British Columbia,Dissolved Sulphate,2007,mg/L,15.178621380172624
British Columbia,Dissolved Sulphate,2008,mg/L,17.55643808836013
British Columbia,Dissolved Sulphate,2009,mg/L,14.546404065788543
British Columbia,Dissolved Sulphate,2010,mg/L,15.228554370798285
British Columbia,Dissolved Sulphate,2011,mg/L,14.932512323915155
British Columbia,Dissolved Sulphate,2012,mg/L,13.13747966636342
British Columbia,Dissolved Sulphate,2013,mg/L,13.798370728509909
British Columbia,Dissolved Sulphate,2014,mg/L,13.338590787362032
British Columbia,Dissolved Sulphate,2015,mg/L,12.66660057048215
British Columbia,Dissolved Sulphate,2016,mg/L,14.831347319347321
British Columbia,Dissolved Sulphate,2017,mg/L,16.5898
British Columbia,Water Temperature,2000,°C,7.502655094749179
British Columbia,Water Temperature,2001,°C,7.048092700296755
British Columbia,Water Temperature,2002,°C,7.264233992167862
British Columbia,Water Temperature,2003,°C,8.03669735077054
British Columbia,Water Temperature,2004,°C,7.892350641957739
British Columbia,Water Temperature,2005,°C,7.939911538014725
British Columbia,Water Temperature,2006,°C,8.453847503923855
British Columbia,Water Temperature,2007,°C,7.830184928588461
British Columbia,Water Temperature,2008,°C,7.959403300501126
British Columbia,Water Temperature,2009,°C,8.096278924641632
British Columbia,Water Temperature,2010,°C,8.288233493708125
British Columbia,Water Temperature,2011,°C,7.1095782062328015
British Columbia,Water Temperature,2012,°C,7.767472004089252
British Columbia,Water Temperature,2013,°C,8.39342051760312
British Columbia,Water Temperature,2014,°C,8.623424779606358
British Columbia,Water Temperature,2015,°C,6.1433491466003405
British Columbia,Water Temperature,2016,°C,5.311678321678322
British Columbia,Water Temperature,2017,°C,4.738717948717949
British Columbia,Water Temperature,2018,°C,4.840306776556777
British Columbia,Water Temperature,2019,°C,3.264285714285714
British Columbia,pH,2000,PH,7.900909632384011
British Columbia,pH,2001,PH,7.934777603386737
British Columbia,pH,2002,PH,7.890885421434888
British Columbia,pH,2003,PH,7.930229012676994
British Columbia,pH,2004,PH,7.821886448085527
British Columbia,pH,2005,PH,7.723278499289901
British Columbia,pH,2006,PH,7.833860818676465
British Columbia,pH,2007,PH,7.895793877237999
British Columbia,pH,2008,PH,7.948025558686649
British Columbia,pH,2009,PH,7.914896562528073
British Columbia,pH,2010,PH,7.8974687953856195
British Columbia,pH,2011,PH,7.8272217466497676
British Columbia,pH,2012,PH,7.890150569992425
British Columbia,pH,2013,PH,7.883831976239473
British Columbia,pH,2014,PH,7.886770986712878
British Columbia,pH,2015,PH,7.902044096345196
British Columbia,pH,2016,PH,7.892164556481613
British Columbia,pH,2017,PH,7.94376350698351
British Columbia,pH,2018,PH,7.980197715109359
British Columbia,pH,2019,PH,7.940172472716101
Manitoba,Dissolved Oxygen,2000,mg/L,9.591717171717171
Manitoba,Dissolved Oxygen,2001,mg/L,9.592056818181817
Manitoba,Dissolved Oxygen,2002,mg/L,11.213578282828284
Manitoba,Dissolved Oxygen,2003,mg/L,10.236215909090909
Manitoba,Dissolved Oxygen,2004,mg/L,10.297551136363637
Manitoba,Dissolved Oxygen,2005,mg/L,9.578333333333333
Manitoba,Dissolved Oxygen,2006,mg/L,9.059565508021391
Manitoba,Dissolved Oxygen,2007,mg/L,11.198689393939393
Manitoba,Dissolved Oxygen,2008,mg/L,11.111683177933177
Manitoba,Dissolved Oxygen,2009,mg/L,10.285271873594242
Manitoba,Dissolved Oxygen,2010,mg/L,10.254011538461539
Manitoba,Dissolved Oxygen,2011,mg/L,9.595951388888889
Manitoba,Dissolved Oxygen,2012,mg/L,10.493636363636362
Manitoba,Dissolved Oxygen,2013,mg/L,9.862549311714709
Manitoba,Dissolved Oxygen,2014,mg/L,10.550000704721636
Manitoba,Dissolved Oxygen,2015,mg/L,10.667349941724941
Manitoba,Dissolved Oxygen,2016,mg/L,10.574772012578617
Manitoba,Dissolved Oxygen,2017,mg/L,10.151481009070295
Manitoba,Dissolved Oxygen,2018,mg/L,10.378720238095237
Manitoba,Dissolved Oxygen,2019,mg/L,9.854263325825826
Manitoba,Dissolved Phosphorus,2000,mg/L,0.07720384615384615
Manitoba,Dissolved Phosphorus,2001,mg/L,0.22688557692307693
Manitoba,Dissolved Phosphorus,2002,mg/L,0.0759375
Manitoba,Dissolved Phosphorus,2003,mg/L,0.07479936868686869
Manitoba,Dissolved Phosphorus,2004,mg/L,0.10001704545454544
Manitoba,Dissolved Phosphorus,2005,mg/L,0.11609251792114696
Manitoba,Dissolved Phosphorus,2006,mg/L,0.10267141330891331
Manitoba,Dissolved Phosphorus,2007,mg/L,0.1319078431372549
Manitoba,Dissolved Phosphorus,2008,mg/L,0.0967154356060606
Manitoba,Dissolved Phosphorus,2009,mg/L,0.09832042219398743
Manitoba,Dissolved Phosphorus,2010,mg/L,0.1201400641025641
Manitoba,Dissolved Phosphorus,2011,mg/L,0.1286707616707617
Manitoba,Dissolved Phosphorus,2012,mg/L,0.07601428571428571
Manitoba,Dissolved Phosphorus,2013,mg/L,0.12420624999999999
Manitoba,Dissolved Phosphorus,2014,mg/L,0.10425683579985906
Manitoba,Dissolved Phosphorus,2015,mg/L,0.08516934731934732
Manitoba,Dissolved Phosphorus,2016,mg/L,0.10370479559748427
Manitoba,Dissolved Phosphorus,2017,mg/L,0.10337537492269634
Manitoba,Dissolved Phosphorus,2018,mg/L,0.10361089285714288
Manitoba,Dissolved Phosphorus,2019,mg/L,0.13451121693121693
Manitoba,Dissolved Sulphate,2000,mg/L,94.10244047619048
Manitoba,Dissolved Sulphate,2001,mg/L,92.39218253968255
Manitoba,Dissolved Sulphate,2002,mg/L,97.63030303030304
Manitoba,Dissolved Sulphate,2003,mg/L,125.62845779220778
Manitoba,Dissolved Sulphate,2004,mg/L,101.22753787878787
Manitoba,Dissolved Sulphate,2005,mg/L,100.8920265151515
Manitoba,Dissolved Sulphate,2006,mg/L,95.95599664224665
Manitoba,Dissolved Sulphate,2007,mg/L,104.19851715686274
Manitoba,Dissolved Sulphate,2008,mg/L,109.66767045454546
Manitoba,Dissolved Sulphate,2009,mg/L,105.00998738406982
Manitoba,Dissolved Sulphate,2010,mg/L,106.30186188811189
Manitoba,Dissolved Sulphate,2011,mg/L,119.18346092503987
Manitoba,Dissolved Sulphate,2012,mg/L,154.87459523809525
Manitoba,Dissolved Sulphate,2013,mg/L,120.16604166666664
Manitoba,Dissolved Sulphate,2014,mg/L,122.99892221634954
Manitoba,Dissolved Sulphate,2015,mg/L,135.81468482905984
Manitoba,Dissolved Sulphate,2016,mg/L,123.48046776729558
Manitoba,Dissolved Sulphate,2017,mg/L,146.5120323129252
Manitoba,Dissolved Sulphate,2018,mg/L,132.6048831300813
Manitoba,Dissolved Sulphate,2019,mg/L,110.59192307692308
Manitoba,Water Temperature,2000,°C,12.622141500140726
Manitoba,Water Temperature,2001,°C,11.110984848484849
Manitoba,Water Temperature,2002,°C,11.797913343965977
Manitoba,Water Temperature,2003,°C,12.028863636363635
Manitoba,Water Temperature,2004,°C,8.813011363636363
Manitoba,Water Temperature,2005,°C,9.871313131313132
Manitoba,Water Temperature,2006,°C,10.822189803439805
Manitoba,Water Temperature,2007,°C,10.47424163510101
Manitoba,Water Temperature,2008,°C,9.750917207792208
Manitoba,Water Temperature,2009,°C,8.35616267551038
Manitoba,Water Temperature,2010,°C,10.119897373358349
Manitoba,Water Temperature,2011,°C,9.389465909090909
Manitoba,Water Temperature,2012,°C,11.027800059417709
Manitoba,Water Temperature,2013,°C,10.412411962613945
Manitoba,Water Temperature,2014,°C,8.122529686398874
Manitoba,Water Temperature,2015,°C,9.171375747863248
Manitoba,Water Temperature,2016,°C,9.703904088050315
Manitoba,Water Temperature,2017,°C,9.873917091836734
Manitoba,Water Temperature,2018,°C,9.051374404761905
Manitoba,Water Temperature,2019,°C,10.938103791291288
Manitoba,pH,2000,PH,7.944005434782609
Manitoba,pH,2001,PH,7.998627585377586
Manitoba,pH,2002,PH,8.041772727272727
Manitoba,pH,2003,PH,8.151283360359448
Manitoba,pH,2004,PH,8.051487154150198
Manitoba,pH,2005,PH,7.994470799557848
Manitoba,pH,2006,PH,8.084720625942685
Manitoba,pH,2007,PH,7.971289746917585
Manitoba,pH,2008,PH,8.070774352459136
Manitoba,pH,2009,PH,8.001145000459516
Manitoba,pH,2010,PH,8.031879136686099
Manitoba,pH,2011,PH,7.985786421911422
Manitoba,pH,2012,PH,8.034731557153755
Manitoba,pH,2013,PH,8.012780758200265
Manitoba,pH,2014,PH,7.954741895701199
Manitoba,pH,2015,PH,8.12920299145299
Manitoba,pH,2016,PH,8.082004716981132
Manitoba,pH,2017,PH,8.028354591836734
Manitoba,pH,2018,PH,8.061914112973634
Manitoba,pH,2019,PH,7.954697191697191
New Brunswick,Dissolved Oxygen,2006,mg/L,11.940555555555555
New Brunswick,Dissolved Oxygen,2007,mg/L,10.841666666666667
New Brunswick,Dissolved Oxygen,2008,mg/L,10.59211111111111
New Brunswick,Dissolved Oxygen,2009,mg/L,10.917261904761906
New Brunswick,Dissolved Oxygen,2010,mg/L,11.488611111111112
New Brunswick,Dissolved Oxygen,2011,mg/L,11.21
New Brunswick,Dissolved Oxygen,2012,mg/L,10.54361111111111
New Brunswick,Dissolved Oxygen,2013,mg/L,12.00261904761905
New Brunswick,Dissolved Oxygen,2014,mg/L,11.305416666666666
New Brunswick,Dissolved Oxygen,2015,mg/L,11.256250000000001
New Brunswick,Dissolved Oxygen,2016,mg/L,11.488928571428572
New Brunswick,Dissolved Oxygen,2017,mg/L,11.328920634920635
New Brunswick,Dissolved Oxygen,2018,mg/L,11.19361607142857
New Brunswick,Dissolved Oxygen,2019,mg/L,11.409583333333332
New Brunswick,Dissolved Phosphorus,2015,mg/L,0.014571428571428572
New Brunswick,Dissolved Sulphate,2000,mg/L,2.4162500000000002
New Brunswick,Dissolved Sulphate,2001,mg/L,1.6122
New Brunswick,Dissolved Sulphate,2002,mg/L,1.8733333333333335
New Brunswick,Dissolved Sulphate,2003,mg/L,1.258
New Brunswick,Dissolved Sulphate,2004,mg/L,1.6199999999999999
New Brunswick,Dissolved Sulphate,2005,mg/L,1.884
New Brunswick,Dissolved Sulphate,2006,mg/L,3.2265624999999996
New Brunswick,Dissolved Sulphate,2007,mg/L,3.458849431818182
New Brunswick,Dissolved Sulphate,2008,mg/L,2.7262714285714287
New Brunswick,Dissolved Sulphate,2009,mg/L,3.8444897959183675
New Brunswick,Dissolved Sulphate,2010,mg/L,3.8048809523809517
New Brunswick,Dissolved Sulphate,2011,mg/L,2.7613333333333334
New Brunswick,Dissolved Sulphate,2012,mg/L,3.430972222222222
New Brunswick,Dissolved Sulphate,2013,mg/L,2.5542428571428575
New Brunswick,Dissolved Sulphate,2014,mg/L,2.8736363636363635
New Brunswick,Dissolved Sulphate,2015,mg/L,2.8136363636363635
New Brunswick,Dissolved Sulphate,2016,mg/L,3.050649350649351
New Brunswick,Dissolved Sulphate,2017,mg/L,4.238024691358024
New Brunswick,Dissolved Sulphate,2018,mg/L,3.9053571428571425
New Brunswick,Dissolved Sulphate,2019,mg/L,3.0555555555555554
New Brunswick,pH,2001,PH,6.855999999999999
New Brunswick,pH,2002,PH,6.895999999999999
New Brunswick,pH,2003,PH,6.714
New Brunswick,pH,2004,PH,6.798
New Brunswick,pH,2005,PH,6.708
New Brunswick,pH,2006,PH,7.059270833333334
New Brunswick,pH,2007,PH,6.969242424242424
New Brunswick,pH,2008,PH,6.602680952380953
New Brunswick,pH,2009,PH,7.53791836734694
New Brunswick,pH,2010,PH,7.3854100529100535
New Brunswick,pH,2011,PH,7.006666666666668
New Brunswick,pH,2012,PH,7.304166666666667
New Brunswick,pH,2013,PH,7.113942857142857
New Brunswick,pH,2014,PH,7.07628787878788
New Brunswick,pH,2015,PH,7.111515151515152
New Brunswick,pH,2016,PH,7.06844155844156
New Brunswick,pH,2017,PH,7.457419753086419
New Brunswick,pH,2018,PH,7.565562169312169
New Brunswick,pH,2019,PH,7.217592592592592
Newfoundland and Labrador,Dissolved Oxygen,2000,mg/L,11.133333333333331
Newfoundland and Labrador,Dissolved Oxygen,2001,mg/L,10.084898989898988
Newfoundland and Labrador,Dissolved Oxygen,2002,mg/L,11.020573870573868
Newfoundland and Labrador,Dissolved Oxygen,2003,mg/L,10.977825783972124
Newfoundland and Labrador,Dissolved Oxygen,2004,mg/L,11.5247193877551
Newfoundland and Labrador,Dissolved Oxygen,2005,mg/L,11.639261349761346
Newfoundland and Labrador,Dissolved Oxygen,2006,mg/L,11.519085271317833
Newfoundland and Labrador,Dissolved Oxygen,2007,mg/L,12.172384057971014
Newfoundland and Labrador,Dissolved Oxygen,2008,mg/L,12.012544642857145
Newfoundland and Labrador,Dissolved Oxygen,2009,mg/L,11.482384353741493
Newfoundland and Labrador,Dissolved Oxygen,2010,mg/L,10.92615611814346
Newfoundland and Labrador,Dissolved Oxygen,2011,mg/L,10.989662404467962
Newfoundland and Labrador,Dissolved Oxygen,2012,mg/L,10.443432730923696
Newfoundland and Labrador,Dissolved Oxygen,2013,mg/L,11.106540160642572
Newfoundland and Labrador,Dissolved Oxygen,2014,mg/L,10.782703051643189
Newfoundland and Labrador,Dissolved Oxygen,2015,mg/L,11.7600117370892
Newfoundland and Labrador,Dissolved Oxygen,2016,mg/L,10.808271428571427
Newfoundland and Labrador,Dissolved Oxygen,2017,mg/L,11.052756788665878
Newfoundland and Labrador,Dissolved Oxygen,2018,mg/L,11.291253424657532
Newfoundland and Labrador,Dissolved Oxygen,2019,mg/L,11.513364114114106
Newfoundland and Labrador,Dissolved Phosphorus,2015,mg/L,0.0108
Newfoundland and Labrador,Dissolved Sulphate,2000,mg/L,17.128229166666667
Newfoundland and Labrador,Dissolved Sulphate,2001,mg/L,4.272357487922705
Newfoundland and Labrador,Dissolved Sulphate,2002,mg/L,4.341902962962964
Newfoundland and Labrador,Dissolved Sulphate,2003,mg/L,3.9534178743961332
Newfoundland and Labrador,Dissolved Sulphate,2004,mg/L,5.032016129032257
Newfoundland and Labrador,Dissolved Sulphate,2005,mg/L,0.9707999999999999
Newfoundland and Labrador,Dissolved Sulphate,2006,mg/L,0.9992857142857141
Newfoundland and Labrador,Dissolved Sulphate,2007,mg/L,0.8666666666666667
Newfoundland and Labrador,Dissolved Sulphate,2008,mg/L,1.2434782608695654
Newfoundland and Labrador,Dissolved Sulphate,2009,mg/L,0.959
Newfoundland and Labrador,Dissolved Sulphate,2010,mg/L,0.7188888888888889
Newfoundland and Labrador,Dissolved Sulphate,2011,mg/L,1.6536956521739132
Newfoundland and Labrador,Dissolved Sulphate,2012,mg/L,1.0171739130434783
Newfoundland and Labrador,Dissolved Sulphate,2013,mg/L,3.960909090909091
Newfoundland and Labrador,Dissolved Sulphate,2014,mg/L,6.381666666666667
Newfoundland and Labrador,Dissolved Sulphate,2015,mg/L,8.781697845804988
Newfoundland and Labrador,Dissolved Sulphate,2016,mg/L,6.652801771871538
Newfoundland and Labrador,Dissolved Sulphate,2017,mg/L,6.287395937395939
Newfoundland and Labrador,Dissolved Sulphate,2018,mg/L,7.023040920569328
Newfoundland and Labrador,Dissolved Sulphate,2019,mg/L,6.7329315476190486
Newfoundland and Labrador,pH,2000,PH,6.3829166666666675
Newfoundland and Labrador,pH,2001,PH,6.576879227053141
Newfoundland and Labrador,pH,2002,PH,6.634466666666666
Newfoundland and Labrador,pH,2003,PH,6.79274430641822
Newfoundland and Labrador,pH,2004,PH,6.742591650358772
Newfoundland and Labrador,pH,2005,PH,6.634174825174826
Newfoundland and Labrador,pH,2006,PH,6.663734177215188
Newfoundland and Labrador,pH,2007,PH,6.601218614718616
Newfoundland and Labrador,pH,2008,PH,6.711766666666666
Newfoundland and Labrador,pH,2009,PH,6.723551587301587
Newfoundland and Labrador,pH,2010,PH,6.707747126436784
Newfoundland and Labrador,pH,2011,PH,6.66682512315271
Newfoundland and Labrador,pH,2012,PH,6.700149812734083
Newfoundland and Labrador,pH,2013,PH,6.7420740740740746
Newfoundland and Labrador,pH,2014,PH,6.763230291005294
Newfoundland and Labrador,pH,2015,PH,6.846249858276642
Newfoundland and Labrador,pH,2016,PH,6.851887181616835
Newfoundland and Labrador,pH,2017,PH,6.773720612720612
Newfoundland and Labrador,pH,2018,PH,6.865490042470154
Newfoundland and Labrador,pH,2019,PH,6.843493371212123
Northwest Territories,Dissolved Oxygen,2000,mg/L,8.25
Northwest Territories,Dissolved Oxygen,2001,mg/L,8.133333333333335
Northwest Territories,Dissolved Oxygen,2002,mg/L,7.003333333333333
Northwest Territories,Dissolved Oxygen,2003,mg/L,7.199999999999999
Northwest Territories,Dissolved Oxygen,2004,mg/L,7.3
Northwest Territories,Dissolved Oxygen,2005,mg/L,10.143333333333333
Northwest Territories,Dissolved Oxygen,2006,mg/L,10.62
Northwest Territories,Dissolved Oxygen,2007,mg/L,11.173928571428574
Northwest Territories,Dissolved Oxygen,2008,mg/L,10.66
Northwest Territories,Dissolved Oxygen,2009,mg/L,12.149999999999999
Northwest Territories,Dissolved Oxygen,2010,mg/L,11.529444444444444
Northwest Territories,Dissolved Oxygen,2011,mg/L,12.621944444444443
Northwest Territories,Dissolved Oxygen,2012,mg/L,12.294871794871796
Northwest Territories,Dissolved Oxygen,2013,mg/L,11.4045
Northwest Territories,Dissolved Oxygen,2014,mg/L,10.925555555555555
Northwest Territories,Dissolved Oxygen,2015,mg/L,10.423333333333334
Northwest Territories,Dissolved Oxygen,2016,mg/L,9.2825
Northwest Territories,Dissolved Oxygen,2017,mg/L,8.930000000000001
Northwest Territories,Dissolved Oxygen,2018,mg/L,11.227666666666668
Northwest Territories,Dissolved Oxygen,2019,mg/L,10.435
Northwest Territories,Dissolved Phosphorus,2000,mg/L,0.020030000000000003
Northwest Territories,Dissolved Phosphorus,2001,mg/L,0.014308333333333334
Northwest Territories,Dissolved Phosphorus,2002,mg/L,0.029865476190476192
Northwest Territories,Dissolved Phosphorus,2003,mg/L,0.008060000000000001
Northwest Territories,Dissolved Phosphorus,2004,mg/L,0.01030416666666667
Northwest Territories,Dissolved Phosphorus,2005,mg/L,0.010883333333333337
Northwest Territories,Dissolved Phosphorus,2006,mg/L,0.011421428571428574
Northwest Territories,Dissolved Phosphorus,2007,mg/L,0.012208333333333338
Northwest Territories,Dissolved Phosphorus,2008,mg/L,0.012500000000000002
Northwest Territories,Dissolved Phosphorus,2009,mg/L,0.010500000000000002
Northwest Territories,Dissolved Phosphorus,2010,mg/L,0.010350000000000002
Northwest Territories,Dissolved Phosphorus,2011,mg/L,0.012708333333333332
Northwest Territories,Dissolved Phosphorus,2012,mg/L,0.008052941176470589
Northwest Territories,Dissolved Phosphorus,2013,mg/L,0.005621666666666669
Northwest Territories,Dissolved Phosphorus,2014,mg/L,0.00805686274509804
